"datasetId","measurementId","measurementType","referencingId","sourceDoi","sourceId","timeRelative","timeUnit","timeAbsolute","parameter","inheritId","parameterDescription","parameterDataType","parameterText","parameterStatistics","parameterNumeric","parameterNumericOperator","parameterUnit","parameterUncertaintyType","parameterUncertaintyLower","parameterUncertaintyUpper","parameterUncertaintyUnit","ownerGroup","protocolId","instrumentId","X","X.1"
"10.1016/j.toxlet.2015.07.001",1,"Instance",NA,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",3,"Property",2,"",NA,NA,"",NA,"Physical State",NA,"Reported by Experimenter","Text","Powder","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",4,"Property",2,"",NA,NA,"",NA,"Supplier",NA,"Reported by Experimenter","Text","PPG Europe BV","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",5,"Property",2,"",NA,NA,"",NA,"Shape",NA,"Reported by Experimenter","Text","heterogenous composition with spherical and rod-shaped ENPs ","","","","","","","","","[]","[""1008""]","[""10010""]",NA,NA
"10.1016/j.toxlet.2015.07.001",6,"Property",2,"",NA,NA,"",NA,"Size",NA,"Reported by Experimenter","Numeric","","","25","=","nanometer","","","","","[]","[""1008""]","[""10010""]",NA,NA
"10.1016/j.toxlet.2015.07.001",7,"Property",2,"",NA,NA,"",NA,"Size",NA,"Reported by Experimenter","Numeric","","mean","85","=","nanometer","range","80","90","nanometer","[]","[""1008""]","[""10010""]",NA,NA
"10.1016/j.toxlet.2015.07.001",8,"Instance",NA,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",9,"Medium",8,"",NA,NA,"",NA,"Exposure Medium",NA,"Made by Experimenter","Text","Saline","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",10,"Property",9,"",NA,NA,"",NA,"sodium chloride",NA,"Made by Experimenter","Numeric","","","0.9","=","percent","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",11,"Material",8,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",12,"Property",11,"",NA,NA,"",NA,"Physical State",NA,"Made by Experimenter","Text","Suspension","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",13,"Property",11,"",NA,NA,"",NA,"Concentration",NA,"Made by Experimenter","Numeric","","","0","=","milligram per milliliter","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",14,"Instance",1,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",15,"Property",24,"",NA,NA,"",NA,"Zeta Potential",NA,"Reported by Experimenter","Numeric","","","−31","=","millivolt","","","","","[]","[""1001""]","[""1001""]",NA,NA
"10.1016/j.toxlet.2015.07.001",16,"Property",24,"",NA,NA,"",NA,"Particle Size Distribution ",NA,"Reported by Experimenter","Numeric","","","11","=","percent","","","","","[]","[""1001""]","[""1001""]",NA,NA
